county_name,geoId,metro_nonmetro,state_abbr,value,year
Anchorage Municipality,us-ak-020,Metropolitan,AK,0.07800030299999999,
Fairbanks North Star Borough,us-ak-090,Metropolitan,AK,0.062000648,
Matanuska-Susitna Borough,us-ak-170,Metropolitan,AK,0.08700045099999999,
Autauga County,us-al-001,Metropolitan,AL,0.111001407,
Baldwin County,us-al-003,Metropolitan,AL,0.107000439,
Bibb County,us-al-007,Metropolitan,AL,0.14500629199999998,
Blount County,us-al-009,Metropolitan,AL,0.170002333,
Calhoun County,us-al-015,Metropolitan,AL,0.175000577,
Chilton County,us-al-021,Metropolitan,AL,0.186005561,
Colbert County,us-al-033,Metropolitan,AL,0.162002166,
Elmore County,us-al-051,Metropolitan,AL,0.158001856,
Etowah County,us-al-055,Metropolitan,AL,0.157001851,
Geneva County,us-al-061,Metropolitan,AL,0.169003617,
Greene County,us-al-063,Metropolitan,AL,0.145002346,
Hale County,us-al-065,Metropolitan,AL,0.178002367,
Henry County,us-al-067,Metropolitan,AL,0.166009105,
Houston County,us-al-069,Metropolitan,AL,0.13500019300000002,
Jefferson County,us-al-073,Metropolitan,AL,0.129000061,
Lauderdale County,us-al-077,Metropolitan,AL,0.138001684,
Lawrence County,us-al-079,Metropolitan,AL,0.193004669,
Lee County,us-al-081,Metropolitan,AL,0.09,
Limestone County,us-al-083,Metropolitan,AL,0.138000634,
Lowndes County,us-al-085,Metropolitan,AL,0.139004149,
Madison County,us-al-089,Metropolitan,AL,0.13500013,
Mobile County,us-al-097,Metropolitan,AL,0.140000065,
Montgomery County,us-al-101,Metropolitan,AL,0.139000264,
Morgan County,us-al-103,Metropolitan,AL,0.12700030199999998,
Pickens County,us-al-107,Metropolitan,AL,0.150006367,
Russell County,us-al-113,Metropolitan,AL,0.19000187899999998,
Shelby County,us-al-117,Metropolitan,AL,0.105000322,
St. Clair County,us-al-115,Metropolitan,AL,0.1380011,
Tuscaloosa County,us-al-125,Metropolitan,AL,0.11900018400000001,
Washington County,us-al-129,Metropolitan,AL,0.166011394,
Benton County,us-ar-007,Metropolitan,AR,0.09000043699999999,
Cleveland County,us-ar-025,Metropolitan,AR,0.17101449300000002,
Craighead County,us-ar-031,Metropolitan,AR,0.139001509,
Crawford County,us-ar-033,Metropolitan,AR,0.150002203,
Crittenden County,us-ar-035,Metropolitan,AR,0.196002785,
Faulkner County,us-ar-045,Metropolitan,AR,0.096000806,
Franklin County,us-ar-047,Metropolitan,AR,0.131009342,
Garland County,us-ar-051,Metropolitan,AR,0.151001116,
Grant County,us-ar-053,Metropolitan,AR,0.16600177300000002,
Jefferson County,us-ar-069,Metropolitan,AR,0.159000154,
Lincoln County,us-ar-079,Metropolitan,AR,0.155000904,
Little River County,us-ar-081,Metropolitan,AR,0.20800594600000002,
Lonoke County,us-ar-085,Metropolitan,AR,0.128,
Madison County,us-ar-087,Metropolitan,AR,0.121001507,
Miller County,us-ar-091,Metropolitan,AR,0.12300043199999999,
Perry County,us-ar-105,Metropolitan,AR,0.14901557099999999,
Poinsett County,us-ar-111,Metropolitan,AR,0.209009213,
Pulaski County,us-ar-119,Metropolitan,AR,0.119000096,
Saline County,us-ar-125,Metropolitan,AR,0.12700101800000002,
Sebastian County,us-ar-131,Metropolitan,AR,0.124000811,
Washington County,us-ar-143,Metropolitan,AR,0.089000074,
Cochise County,us-az-003,Metropolitan,AZ,0.105000903,
Coconino County,us-az-005,Metropolitan,AZ,0.07500024599999999,
Maricopa County,us-az-013,Metropolitan,AZ,0.089000014,
Mohave County,us-az-015,Metropolitan,AZ,0.136000145,
Pima County,us-az-019,Metropolitan,AZ,0.084000005,
Pinal County,us-az-021,Metropolitan,AZ,0.128000182,
Yavapai County,us-az-025,Metropolitan,AZ,0.107000279,
Yuma County,us-az-027,Metropolitan,AZ,0.14100089400000002,
Alameda County,us-ca-001,Metropolitan,CA,0.069000016,
Butte County,us-ca-007,Metropolitan,CA,0.098000081,
Contra Costa County,us-ca-013,Metropolitan,CA,0.088000047,
El Dorado County,us-ca-017,Metropolitan,CA,0.08200001400000001,
Fresno County,us-ca-019,Metropolitan,CA,0.10800006599999999,
Imperial County,us-ca-025,Metropolitan,CA,0.09200038599999999,
Kern County,us-ca-029,Metropolitan,CA,0.093000075,
Kings County,us-ca-031,Metropolitan,CA,0.10400076,
Los Angeles County,us-ca-037,Metropolitan,CA,0.08400000699999999,
Madera County,us-ca-039,Metropolitan,CA,0.123000444,
Marin County,us-ca-041,Metropolitan,CA,0.053000232,
Merced County,us-ca-047,Metropolitan,CA,0.14300006099999998,
Monterey County,us-ca-053,Metropolitan,CA,0.08400018199999999,
Napa County,us-ca-055,Metropolitan,CA,0.086000721,
Orange County,us-ca-059,Metropolitan,CA,0.085000015,
Placer County,us-ca-061,Metropolitan,CA,0.067000112,
Riverside County,us-ca-065,Metropolitan,CA,0.094000002,
Sacramento County,us-ca-067,Metropolitan,CA,0.095000076,
San Benito County,us-ca-069,Metropolitan,CA,0.09,
San Bernardino County,us-ca-071,Metropolitan,CA,0.094000049,
San Diego County,us-ca-073,Metropolitan,CA,0.071000008,
San Francisco County,us-ca-075,Metropolitan,CA,0.068000059,
San Joaquin County,us-ca-077,Metropolitan,CA,0.10400010900000001,
San Luis Obispo County,us-ca-079,Metropolitan,CA,0.08,
San Mateo County,us-ca-081,Metropolitan,CA,0.07600012099999999,
Santa Barbara County,us-ca-083,Metropolitan,CA,0.087000003,
Santa Clara County,us-ca-085,Metropolitan,CA,0.076000047,
Santa Cruz County,us-ca-087,Metropolitan,CA,0.069000062,
Shasta County,us-ca-089,Metropolitan,CA,0.110000294,
Solano County,us-ca-095,Metropolitan,CA,0.10200028400000001,
Sonoma County,us-ca-097,Metropolitan,CA,0.072000144,
Stanislaus County,us-ca-099,Metropolitan,CA,0.114000269,
Sutter County,us-ca-101,Metropolitan,CA,0.103001285,
